values
91
73
74
45
61
62
35
63
76
44
47
70
58
40
59
80
67
76
54
76
39
80
62
57
77
70
35
30
75
77
77
62
61
74
64
67
80
69
63
74
73
57
65
56
67
53
55
64
80
47
38
38
50
68
57
76
73
29
68
54
74
77
37
52
71
71
75
82
39
20
19
55
74
18
77
81
59
70
42
85
84
74
65
38
33
81
70
81
28
27
46
32
64
64
56
44
71
66
69
38
