Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
After Hours,2 nominations.,0,2,0,0,0,0,0,0,0,0
Adventure Inc.,1 nomination.,0,1,0,0,0,0,0,0,0,0
Anja,1 win.,1,0,0,0,0,0,0,0,0,0
The Birthday,1 nomination.,0,1,0,0,0,0,0,0,0,0
9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0,0
30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0,0
Silent Night,4 nominations.,0,4,0,0,0,0,0,0,0,0
Memento Mori,4 wins.,4,0,0,0,0,0,0,0,0,0
The Wedding,1 win.,1,0,0,0,0,0,0,0,0,0
A Pequena Travessa,15 nominations.,0,15,0,0,0,0,0,0,0,0
Unprecedented: The 2000 Presidential Election,2 wins.,2,0,0,0,0,0,0,0,0,0
Happy Birthday,2 wins.,2,0,0,0,0,0,0,0,0,0
15 Storeys High,1 nomination.,0,1,0,0,0,0,0,0,0,0
Annemie Hülchrath - Der Talk,1 nomination.,0,1,0,0,0,0,0,0,0,0
Abschnitt 40,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
Al rojo vivo con María Celeste,1 nomination.,0,1,0,0,0,0,0,0,0,0
Hannibal: The Man Who Hated Rome,1 win.,1,0,0,0,0,0,0,0,0,0
A Guy and a Girl,1 nomination.,0,1,0,0,0,0,0,0,0,0
Promise Land,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Ask Anna,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Jóia de África,1 win.,1,0,0,0,0,0,0,0,0,0
La fotografia,2 wins.,2,0,0,0,0,0,0,0,0,0
Under Suspicion,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
75th Annual Macy's Thanksgiving Day Parade,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Kalahari Family,1 win.,1,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,Won 11 Oscars. Another 174 wins & 113 nominations.,185,113,0,0,0,0,0,11,0,0
The Fighting Temptations,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
Once Upon a Time in Mexico,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
Fear X,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Scary Movie 3,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Imagining Argentina,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Won 1 Oscar. Another 11 wins & 14 nominations.,12,14,0,0,0,0,0,1,0,0
Jimmy Kimmel Live!,Won 3 Primetime Emmys. Another 44 nominations.,3,44,0,0,0,0,3,0,0,0
