Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Röyhkeä diplomaatti,1 nomination.,0,1,0,0,0,0,0,0,0,0
Mixed Blessings,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
Haïti chérie,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Air Australia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Encounters at the End of the World,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,2,15,0,1,0,0,0,0,0,0
Twilight,28 wins & 16 nominations.,28,16,0,0,0,0,0,0,0,0
The First Day,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
13 anys i un dia,1 win.,1,0,0,0,0,0,0,0,0,0
Batman: Gotham Knight,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Sons of Anarchy,Won 1 Golden Globe. Another 10 wins & 57 nominations.,11,57,0,0,0,0,0,0,1,0
A Pedra do Reino,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
9mm: São Paulo,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Death of a Ghost Hunter,1 win.,1,0,0,0,0,0,0,0,0,0
Stella,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
The World is Big and Salvation Lurks Around the Corner,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
A.D. La guerre de l'ombre,1 win.,1,0,0,0,0,0,0,0,0,0
Three Apples Fall,2 wins.,2,0,0,0,0,0,0,0,0,0
Una vida mejor,1 win.,1,0,0,0,0,0,0,0,0,0
The Pleasure of Being Robbed,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
Achtung! Hartwich,1 nomination.,0,1,0,0,0,0,0,0,0,0
Lawrence Leung's Choose Your Own Adventure,2 nominations.,0,2,0,0,0,0,0,0,0,0
Code Geass: Lelouch of the Rebellion R2,3 wins.,3,0,0,0,0,0,0,0,0,0
Command & Conquer: Red Alert 3,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Bucarest; la memòria perduda,3 wins.,3,0,0,0,0,0,0,0,0,0
Disaster Movie,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
90210,2 wins & 17 nominations.,2,17,0,0,0,0,0,0,0,0
Smashing Pumpkins: If All Goes Wrong,1 win.,1,0,0,0,0,0,0,0,0,0
What on Earth Have I Done Wrong?!,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
The Road to Sundance,1 win.,1,0,0,0,0,0,0,0,0,0
Al punto,1 nomination.,0,1,0,0,0,0,0,0,0,0
30 Days of Night: Dust to Dust,1 nomination.,0,1,0,0,0,0,0,0,0,0
Cry Wolf,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
A Favorita,26 wins & 24 nominations.,26,24,0,0,0,0,0,0,0,0
Aftermath: Population Zero,1 win.,1,0,0,0,0,0,0,0,0,0
Aphrodite's Farm,1 win.,1,0,0,0,0,0,0,0,0,0
Aisling's Diary,2 nominations.,0,2,0,0,0,0,0,0,0,0
Point Blank P.O.V.,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Art of Failure: Chuck Connelly Not for Sale,1 win.,1,0,0,0,0,0,0,0,0,0
Living in Emergency,1 win.,1,0,0,0,0,0,0,0,0,0
Seeking Wellness: Suffering Through Four Movements,1 win.,1,0,0,0,0,0,0,0,0,0
Robot Chicken: Star Wars Episode II,Won 1 Primetime Emmy. Another 3 wins & 3 nominations.,4,3,0,0,0,0,1,0,0,0
Escape,2 wins.,2,0,0,0,0,0,0,0,0,0
Brothers,1 win.,1,0,0,0,0,0,0,0,0,0
All's Faire,2 nominations.,0,2,0,0,0,0,0,0,0,0
A History of Scotland,2 wins.,2,0,0,0,0,0,0,0,0,0
Hot Dog,3 nominations.,0,3,0,0,0,0,0,0,0,0
The Witness from the Balcony of Room 306,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,5,2,0,1,0,0,0,0,0,0
Granny O'Grimm's Sleeping Beauty,Nominated for 1 Oscar. Another 1 win.,1,1,0,1,0,0,0,0,0,0
After Judgment,2 nominations.,0,2,0,0,0,0,0,0,0,0
Pajama Gladiator,2 wins.,2,0,0,0,0,0,0,0,0,0
Swingers,1 win.,1,0,0,0,0,0,0,0,0,0
Meeting Andrei Tarkovsky,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Aline,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Luxury,3 wins.,3,0,0,0,0,0,0,0,0,0
A Broken Heart,2 wins.,2,0,0,0,0,0,0,0,0,0
Speed in 60 Seconds,1 nomination.,0,1,0,0,0,0,0,0,0,0
15 Minutos MTV,1 nomination.,0,1,0,0,0,0,0,0,0,0
3rd & Bird,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Beethoven Virus,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Primera Hora,1 nomination.,0,1,0,0,0,0,0,0,0,0
All Access,5 nominations.,0,5,0,0,0,0,0,0,0,0
Passos no Silencio,1 win.,1,0,0,0,0,0,0,0,0,0
16x9: The Bigger Picture,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
Roots of Relationship,1 nomination.,0,1,0,0,0,0,0,0,0,0
Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,0,0,0,0,0,6,0,0
Watchmen,12 wins & 20 nominations.,12,20,0,0,0,0,0,0,0,0
Prince of Persia: The Sands of Time,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
Resident Evil 5,2 nominations.,0,2,0,0,0,0,0,0,0,0
Love & Other Drugs,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,1,6,0,0,2,0,0,0,0,0
Clash of the Titans,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
The Kids Are All Right,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,28,120,0,4,0,0,0,0,0,0
The Blind Side,Won 1 Oscar. Another 7 wins & 29 nominations.,8,29,0,0,0,0,0,1,0,0
How to Train Your Dragon,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,25,60,0,2,0,0,0,0,0,0
Gamer,1 win.,1,0,0,0,0,0,0,0,0,0
Repo Men,2 nominations.,0,2,0,0,0,0,0,0,0,0
Max Neptune and the Menacing Squid,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Mars,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Hannah Montana: The Movie,6 wins & 10 nominations.,6,10,0,0,0,0,0,0,0,0
Burlesque,Won 1 Golden Globe. Another 5 wins & 17 nominations.,6,17,0,0,0,0,0,0,1,0
Twisted Roots,1 nomination.,0,1,0,0,0,0,0,0,0,0
Without Bias,2 wins.,2,0,0,0,0,0,0,0,0,0
A Vida Privada de Salazar,1 win.,1,0,0,0,0,0,0,0,0,0
Acusados,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Alguien que me quiera,1 nomination.,0,1,0,0,0,0,0,0,0,0
Christina,1 win.,1,0,0,0,0,0,0,0,0,0
Georgia O'Keeffe,Nominated for 3 Golden Globes. Another 1 win & 25 nominations.,1,28,0,0,3,0,0,0,0,0
10 Things I Hate About You,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
Finale,3 wins.,3,0,0,0,0,0,0,0,0,0
1066: The Battle for Middle Earth,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Final Storm,2 nominations.,0,2,0,0,0,0,0,0,0,0
23-F: El día más difícil del Rey,5 wins & 1 nomination.,5,1,0,0,0,0,0,0,0,0
Partners,1 win.,1,0,0,0,0,0,0,0,0,0
A Lei e o Crime,7 nominations.,0,7,0,0,0,0,0,0,0,0
Glenn Martin DDS,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
A Blooming Business,1 win.,1,0,0,0,0,0,0,0,0,0
Der verlorene Sohn,2 nominations.,0,2,0,0,0,0,0,0,0,0
4 Singles,2 nominations.,0,2,0,0,0,0,0,0,0,0
Twelve,1 nomination.,0,1,0,0,0,0,0,0,0,0
:30 Seconds,4 nominations.,0,4,0,0,0,0,0,0,0,0
30 for 30,Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations.,4,18,1,0,0,0,0,0,0,0
Acompañantes,1 nomination.,0,1,0,0,0,0,0,0,0,0
18 to Life,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
Tracker,1 nomination.,0,1,0,0,0,0,0,0,0,0
Un juego absurdo,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Rapture of Fe,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
90-60-90. Diario secreto de una adolescente,1 nomination.,0,1,0,0,0,0,0,0,0,0
EA Sports FIFA 10,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Bruc; the Manhunt,3 wins & 10 nominations.,3,10,0,0,0,0,0,0,0,0
Alice,Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations.,8,16,2,0,0,0,0,0,0,0
5 Para a Meia Noite,1 win.,1,0,0,0,0,0,0,0,0,0
The BET Honors,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alan Carr: Chatty Man,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
To Comfort You,1 win.,1,0,0,0,0,0,0,0,0,0
Saw 3D: The Final Chapter,3 nominations.,0,3,0,0,0,0,0,0,0,0
Turning Point,1 nomination.,0,1,0,0,0,0,0,0,0,0
So Normal 2,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
Basilicata Coast to Coast,7 wins & 8 nominations.,7,8,0,0,0,0,0,0,0,0
Addicted to Money,1 nomination.,0,1,0,0,0,0,0,0,0,0
Committed,1 win.,1,0,0,0,0,0,0,0,0,0
37,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Kim Jong-Il's Comedy Club,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Matar a Videla,1 nomination.,0,1,0,0,0,0,0,0,0,0
Skyline,1 nomination.,0,1,0,0,0,0,0,0,0,0
The List,1 win.,1,0,0,0,0,0,0,0,0,0
The Secret World of Arrietty,11 wins & 6 nominations.,11,6,0,0,0,0,0,0,0,0
Theo Maassen: Zonder pardon,1 win.,1,0,0,0,0,0,0,0,0,0
Afro-Suomen historia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Jessica Simpson: The Price of Beauty,1 nomination.,0,1,0,0,0,0,0,0,0,0
Confessions,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
Addicted,1 win.,1,0,0,0,0,0,0,0,0,0
A História de Ester,4 nominations.,0,4,0,0,0,0,0,0,0,0
Bill Cunningham New York,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
Ben 10: Ultimate Alien,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Vida Alheia,6 nominations.,0,6,0,0,0,0,0,0,0,0
I Hate Luv Storys,9 nominations.,0,9,0,0,0,0,0,0,0,0
2010 FIFA World Cup,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Journey to the Beginning of the Time of Economic Transformation,1 nomination.,0,1,0,0,0,0,0,0,0,0
Hay pinhod oh ya Scooter,1 nomination.,0,1,0,0,0,0,0,0,0,0
Robot Chicken: Star Wars Episode III,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,1,0,0,0,0,0,0,0
City Under Siege,3 nominations.,0,3,0,0,0,0,0,0,0,0
10;000 Days,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Storytelling Show,1 nomination.,0,1,0,0,0,0,0,0,0,0
Speed,5 wins & 11 nominations.,5,11,0,0,0,0,0,0,0,0
A Cura,3 wins & 11 nominations.,3,11,0,0,0,0,0,0,0,0
1001 Nights,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
Sign Language,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Night at the Classic,1 nomination.,0,1,0,0,0,0,0,0,0,0
Accused,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0,0
7 Days,1 win.,1,0,0,0,0,0,0,0,0,0
Awakening,1 win.,1,0,0,0,0,0,0,0,0,0
Überflieger - Die Kunst des Skispringens,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Gurls Wurld,1 nomination.,0,1,0,0,0,0,0,0,0,0
Home,4 wins.,4,0,0,0,0,0,0,0,0,0
Contra las cuerdas,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Venus,5 nominations.,0,5,0,0,0,0,0,0,0,0
8.13,1 nomination.,0,1,0,0,0,0,0,0,0,0
In Bed at 10 PM,1 nomination.,0,1,0,0,0,0,0,0,0,0
Revolution,1 win.,1,0,0,0,0,0,0,0,0,0
The Joey & Elise Show,4 nominations.,0,4,0,0,0,0,0,0,0,0
1916 Seachtar na Cásca,1 win.,1,0,0,0,0,0,0,0,0,0
Afinal; o que Querem as Mulheres?,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
Afl 360,1 nomination.,0,1,0,0,0,0,0,0,0,0
Agents of Cracked,1 win.,1,0,0,0,0,0,0,0,0,0
Amor & Sexo,1 nomination.,0,1,0,0,0,0,0,0,0,0
A League of Their Own,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Al-Gamaa'a,2 wins.,2,0,0,0,0,0,0,0,0,0
The Two Escobars,3 nominations.,0,3,0,0,0,0,0,0,0,0
To Be or Not to Be,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alagang kapatid,4 nominations.,0,4,0,0,0,0,0,0,0,0
Aksyon,5 nominations.,0,5,0,0,0,0,0,0,0,0
Antiques Road Trip,1 nomination.,0,1,0,0,0,0,0,0,0,0
On the Road,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
Puss in Boots,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,7,43,0,1,0,0,0,0,0,0
The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,34,76,0,1,0,0,0,0,0,0
Argo,Won 3 Oscars. Another 92 wins & 150 nominations.,95,150,0,0,0,0,0,3,0,0
The Message,1 win.,1,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,46,90,0,3,0,0,0,0,0,0
A Very Harold & Kumar 3D Christmas,1 nomination.,0,1,0,0,0,0,0,0,0,0
X-Men: First Class,20 wins & 35 nominations.,20,35,0,0,0,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 1,11 wins & 21 nominations.,11,21,0,0,0,0,0,0,0,0
The Custom Mary,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Tinker Tailor Soldier Spy,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,34,91,0,3,0,0,0,0,0,0
The Domino Effect,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
A'dam - E.V.A.,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Martha Marcy May Marlene,22 wins & 68 nominations.,22,68,0,0,0,0,0,0,0,0
A Lady in Paris,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Melancholia,32 wins & 86 nominations.,32,86,0,0,0,0,0,0,0,0
Love,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
One Day,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Dolphin Tale,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
Brute Force,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Fast Five,8 wins & 19 nominations.,8,19,0,0,0,0,0,0,0,0
Soul Surfer,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
Abraham Lincoln: Vampire Hunter,1 nomination.,0,1,0,0,0,0,0,0,0,0
Vampire,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Ted,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,13,27,0,1,0,0,0,0,0,0
Super 8,11 wins & 62 nominations.,11,62,0,0,0,0,0,0,0,0
Türkisch für Anfänger,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
30° i februari,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Trap Door,1 win.,1,0,0,0,0,0,0,0,0,0
All-Star Superman,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Arrival of Wang,2 nominations.,0,2,0,0,0,0,0,0,0,0
How to Die in Oregon,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
Thank You,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Alcatraz,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
Aim High,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Darwin,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
We Can't Change the World. But; We Wanna Build a School in Cambodia.,1 win.,1,0,0,0,0,0,0,0,0,0
California Romanza,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Iran Job,1 nomination.,0,1,0,0,0,0,0,0,0,0
You Will Be My Son,2 nominations.,0,2,0,0,0,0,0,0,0,0
Apollo 18,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A.N.T. Farm,7 wins & 12 nominations.,7,12,0,0,0,0,0,0,0,0
14 de abril. La República,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
State of Georgia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Page One: Inside the New York Times,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
A Família Mata,4 nominations.,0,4,0,0,0,0,0,0,0,0
Allen Gregory,1 nomination.,0,1,0,0,0,0,0,0,0,0
Superheroes,1 nomination.,0,1,0,0,0,0,0,0,0,0
Happiness Is a Warm Blanket; Charlie Brown,1 win.,1,0,0,0,0,0,0,0,0,0
10 O'Clock Live,3 nominations.,0,3,0,0,0,0,0,0,0,0
After Lately,2 nominations.,0,2,0,0,0,0,0,0,0,0
Missing,Nominated for 2 Primetime Emmys. Another 1 win & 1 nomination.,1,3,2,0,0,0,0,0,0,0
Adam Hills in Gordon St Tonight,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
19-2,9 wins & 2 nominations.,9,2,0,0,0,0,0,0,0,0
2 Broke Girls,Won 1 Primetime Emmy. Another 2 wins & 20 nominations.,3,20,0,0,0,0,1,0,0,0
30 Vies,2 wins.,2,0,0,0,0,0,0,0,0,0
Agony and Ecstasy: A Year with English National Ballet,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Path,1 nomination.,0,1,0,0,0,0,0,0,0,0
Five,Nominated for 1 Primetime Emmy. Another 1 win & 26 nominations.,1,27,1,0,0,0,0,0,0,0
11-M; para que nadie lo olvide,1 win.,1,0,0,0,0,0,0,0,0,0
Quiz,1 nomination.,0,1,0,0,0,0,0,0,0,0
Air,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Ghost,3 nominations.,0,3,0,0,0,0,0,0,0,0
100 Days to Heaven,2 nominations.,0,2,0,0,0,0,0,0,0,0
Sinister,3 wins & 13 nominations.,3,13,0,0,0,0,0,0,0,0
Alaska y Mario,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ghost Graduation,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
A Viagem,6 wins & 13 nominations.,6,13,0,0,0,0,0,0,0,0
10 kirjaa rahasta,1 win.,1,0,0,0,0,0,0,0,0,0
Viagem a Portugal,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
17 Meter - Wie weit kannst du gehn?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
All Watched Over by Machines of Loving Grace,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Mulher Invisível,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
The Cougar Club 3,2 nominations.,0,2,0,0,0,0,0,0,0,0
Finale,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Flat,1 win.,1,0,0,0,0,0,0,0,0,0
Theresa Is a Mother,10 wins & 5 nominations.,10,5,0,0,0,0,0,0,0,0
Up in Smoke,1 win.,1,0,0,0,0,0,0,0,0,0
Hell Week,1 nomination.,0,1,0,0,0,0,0,0,0,0
All-American Muslim,2 nominations.,0,2,0,0,0,0,0,0,0,0
Torn,1 win.,1,0,0,0,0,0,0,0,0,0
The Secret Disco Revolution,2 nominations.,0,2,0,0,0,0,0,0,0,0
Correo de Inocentes,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Technical Support,2 nominations.,0,2,0,0,0,0,0,0,0,0
Tonight at 11:00,1 win.,1,0,0,0,0,0,0,0,0,0
8 al dia,1 win.,1,0,0,0,0,0,0,0,0,0
Aaron Burr; Part 2,1 nomination.,0,1,0,0,0,0,0,0,0,0
Unter Wasser atmen - Das zweite Leben des Dr. Nils Jent,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Teens Like Phil,4 wins.,4,0,0,0,0,0,0,0,0,0
Revolution,Won 1 Primetime Emmy. Another 3 wins & 11 nominations.,4,11,0,0,0,0,1,0,0,0
Stockholm East,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Family Affair,1 win.,1,0,0,0,0,0,0,0,0,0
The Birds of Anger,1 win.,1,0,0,0,0,0,0,0,0,0
2011 World Series,1 win.,1,0,0,0,0,0,0,0,0,0
Agora é Tarde,1 nomination.,0,1,0,0,0,0,0,0,0,0
Adults Only,3 nominations.,0,3,0,0,0,0,0,0,0,0
Hitman 101,6 nominations.,0,6,0,0,0,0,0,0,0,0
The First on the List,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
All Over the Place,1 nomination.,0,1,0,0,0,0,0,0,0,0
Vietnam in HD,2 wins.,2,0,0,0,0,0,0,0,0,0
The Gate,1 win.,1,0,0,0,0,0,0,0,0,0
Achat Efes Efes,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Allie Haze: True Sex,2 nominations.,0,2,0,0,0,0,0,0,0,0
Segunda mano,2 wins & 27 nominations.,2,27,0,0,0,0,0,0,0,0
Born on the 25th of January,1 nomination.,0,1,0,0,0,0,0,0,0,0
Add a Friend,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
Happily Never After,2 wins.,2,0,0,0,0,0,0,0,0,0
Life is a Beach,1 win.,1,0,0,0,0,0,0,0,0,0
30 for 30 Shorts,Won 1 Primetime Emmy. Another 4 nominations.,1,4,0,0,0,0,1,0,0,0
The Arrival,1 win.,1,0,0,0,0,0,0,0,0,0
A Moody Christmas,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
(fdp),1 win.,1,0,0,0,0,0,0,0,0,0
Southwest,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0,0
4 O'Clock Club,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Pablo Escobar: El Patrón del Mal,3 wins.,3,0,0,0,0,0,0,0,0,0
Blue,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
The 2011 US Open Tennis Championships,1 nomination.,0,1,0,0,0,0,0,0,0,0
The X Factor Philippines,2 nominations.,0,2,0,0,0,0,0,0,0,0
Epilogue,13 wins & 5 nominations.,13,5,0,0,0,0,0,0,0,0
666 Park Avenue,2 nominations.,0,2,0,0,0,0,0,0,0,0
Medo de Sangue,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alifim,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Chicago Fire,4 wins & 16 nominations.,4,16,0,0,0,0,0,0,0,0
A Thousand Days' Promise,3 nominations.,0,3,0,0,0,0,0,0,0,0
A Walk in the Park,1 nomination.,0,1,0,0,0,0,0,0,0,0
1600 Penn,1 win.,1,0,0,0,0,0,0,0,0,0
Rocky Mountain Express,1 win.,1,0,0,0,0,0,0,0,0,0
Accel World,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
This Ain't Jaws XXX,1 nomination.,0,1,0,0,0,0,0,0,0,0
Katie,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Marcelo Yuka no Caminho das Setas (Marcelo Yuka: Follow the Signs),2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
A Gentleman's Dignity,4 nominations.,0,4,0,0,0,0,0,0,0,0
Laptop,1 nomination.,0,1,0,0,0,0,0,0,0,0
31 Questions,1 nomination.,0,1,0,0,0,0,0,0,0,0
Invitation,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Eating Alabama,6 nominations.,0,6,0,0,0,0,0,0,0,0
A Football Life,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Poem Is...,1 nomination.,0,1,0,0,0,0,0,0,0,0
Race to the Top Commencement Challenge Special,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Mother's Son,1 nomination.,0,1,0,0,0,0,0,0,0,0
Australia's Lost Gold: The Legend of Lasseter,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Con Job,1 nomination.,0,1,0,0,0,0,0,0,0,0
Absolute Mehrheit - Meinung muss sich wieder lohnen,1 nomination.,0,1,0,0,0,0,0,0,0,0
Benji,1 nomination.,0,1,0,0,0,0,0,0,0,0
Wild Things with Dominic Monaghan,Nominated for 1 Primetime Emmy. Another 3 nominations.,0,4,1,0,0,0,0,0,0,0
EDSA XXX: Nothing Ever Changes in the Ever-Changing Republic of Ek-Ek-Ek,1 nomination.,0,1,0,0,0,0,0,0,0,0
No Place Like Home,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Kennedy Center Honors,Won 2 Primetime Emmys. Another 2 nominations.,2,2,0,0,0,0,2,0,0,0
Abigail,1 nomination.,0,1,0,0,0,0,0,0,0,0
Agony,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Allenby St.,3 nominations.,0,3,0,0,0,0,0,0,0,0
6 passi nel giallo,1 nomination.,0,1,0,0,0,0,0,0,0,0
Lisa Ann Fantasy Girl,1 nomination.,0,1,0,0,0,0,0,0,0,0
Against Our Will Campaign,1 nomination.,0,1,0,0,0,0,0,0,0,0
7.30,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Artist,1 nomination.,0,1,0,0,0,0,0,0,0,0
Apocalypse,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ransom,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ako ang simula,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Beautiful Affair,2 nominations.,0,2,0,0,0,0,0,0,0,0
2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,14,7,0,0,0,0,0,1,0,0
2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,14,7,0,0,0,0,0,1,0,0
Happy Days,Won 3 Golden Globes. Another 13 wins & 19 nominations.,16,19,0,0,0,0,0,0,3,0
Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,0,0,0,0,0,6,0,0
The Hobbit,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Youngblood,1 win.,1,0,0,0,0,0,0,0,0,0
Youngblood,1 win.,1,0,0,0,0,0,0,0,0,0
Star Trek: The Next Generation,Won 18 Primetime Emmys. Another 16 wins & 60 nominations.,34,60,0,0,0,0,18,0,0,0
Liar Liar,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,4,6,0,0,1,0,0,0,0,0
The Secret Life of Walter Mitty,5 wins & 16 nominations.,5,16,0,0,0,0,0,0,0,0
Gameboy,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Wayne Brady Show,6 wins & 5 nominations.,6,5,0,0,0,0,0,0,0,0
Action Jackson,5 nominations.,0,5,0,0,0,0,0,0,0,0
